board,from,to,results
8/5rp1/2k4p/1p2Q3/2b2PPP/8/2P5/1K6 w - - 1 37,35,26,-1.0
1k1r1q1r/2p1n3/bp3pR1/n3pP2/P2pP2p/P2P1B1P/1BP2Q2/1KN3R1 w - - 9 30,42,52,1.0
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,58,49,1.0
1kr1r3/pbp2qb1/1p5p/3pp1p1/3P1n2/PPN2PN1/KBPR2PP/3RQ3 w - - 0 22,44,36,1.0
8/6pp/5p2/1k3P2/6PP/2K5/8/8 w - - 1 50,24,33,0.0
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,48,40,-1.0
1k3r1r/pbpB3p/1pn3p1/2b1p3/4P2q/2NP2N1/PPPB3n/1KR1Q2R w - - 2 18,60,61,1.0
r2kq2r/pbpp2bp/1pn1pnp1/5p2/3P1P2/1P2PN2/PBPN2PP/R2KQB1R w KQkq - 2 8,58,49,0.0
1n4r1/pk4rp/1p2p2b/3pP2b/3P1p1N/1P1K1N1P/P4BP1/5RR1 w - - 2 28,51,57,-1.0
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P5/P4PPP/R1BQKBNR w KQkq - 1 7,61,54,-1.0
2rr2k1/4b1p1/p1b1p3/1p5n/P1p1PP1p/2N1BK1P/1PR2NP1/2R5 w - - 3 29,49,42,1.0
3rrnk1/bp2qpp1/p1pp3p/5P2/3Pp1n1/2P1BP1P/PPBQ2P1/R3R1K1 w - - 0 22,45,30,0.0
rn1kqb1r/ppp2bpp/5n2/4ppB1/8/2NP1P2/PPP3PP/R2KQBNR w KQkq - 2 7,35,53,1.0
r2kqbnr/pbpp2pp/1pn1p3/5p2/3PP3/2N1B3/PPP2PPP/R2KQBNR w KQkq - 0 5,53,37,0.0
8/6p1/R3P1kp/2Bn4/6P1/5K2/8/4r3 w - - 5 54,52,35,0.0
2Q2bk1/5pp1/4p2p/p1qpP2P/4n1N1/PP3R2/5PP1/6K1 w - - 1 36,41,34,1.0
r2q1rk1/pp2bppp/1np3n1/8/3PP1b1/2N3P1/PP2N1BP/R1BQ1RK1 w - - 1 13,58,30,-1.0
2r3k1/p1r2ppp/1p2p3/4P1q1/4Q3/P5P1/1P3PP1/3R1RK1 w - - 6 25,61,58,0.0
8/6pk/4Bp2/4r2P/5NK1/6P1/8/8 w - - 39 73,20,36,0.0
1k1r1r2/1pp1bqp1/p3b2p/4p3/3nNnBP/1P3PQN/PBPP4/1K2R2R w - - 10 19,63,61,1.0
3k4/8/K7/2Q1P2P/3P4/3q4/8/8 w - - 7 60,17,19,1.0
8/2K1B2N/1p1P2p1/1Pb1n3/P1k3P1/7P/8/8 w - - 3 59,35,26,-1.0
k1r1R3/pp5p/8/1q1nRP2/8/8/7P/1K2Q3 w - - 10 43,40,33,1.0
1r1r2k1/5pp1/4p2p/1Q1n1q2/1b1B4/6PP/P4PB1/R2R2K1 w - - 7 28,58,57,1.0
r2k3r/pppb1qb1/2nppnpp/5p2/3P1P2/1P2PN2/PBP3PP/1KRNQB1R w KQ - 2 10,62,45,-1.0
2k1rr2/p1n4p/5np1/5p2/3N4/1PNPq1QP/PBP5/1K3R2 w - - 1 25,52,20,1.0
rnbqkb1r/p4ppp/2p1pn2/1p4B1/2QP4/5N2/PP2PPPP/RN2KB1R w KQkq - 0 7,49,33,1.0
r1bkqbnr/ppp1pppp/2n5/3p4/3P4/8/PPP1PPPP/RNBKQBNR w KQkq - 1 2,57,42,-1.0
1k1r4/2pp1r2/1p2p1np/4P1p1/1PP3P1/8/K3R1PP/2BR4 w - - 2 29,61,53,0.0
6r1/3kb3/4p3/3pBp1p/pr6/5RPP/P1P1RPK1/8 w - - 2 34,57,25,-1.0
r2q1rk1/1b3ppp/p1nbpn2/1pp5/3P4/P1N1PN2/BP2QPPP/R1B2RK1 w - - 6 12,60,62,0.0
r1bq1rk1/1p2bppp/p3pn2/3n2B1/P1BP4/2N2N2/1P2QPPP/R2R2K1 w - - 7 14,25,35,1.0
5r1k/p5bp/3Q1r2/3B1pp1/1PR5/P5PP/1q3PK1/3R4 w - - 14 40,53,45,0.0
1k3r2/1bpp4/1p3n2/7p/4pP2/P1N1P1r1/2P5/1KBR3R w - - 2 32,23,22,1.0
8/8/P7/4P3/3b4/4q1p1/1KQB4/5k2 w - - 20 85,34,27,1.0
r3rn2/1pq3bk/2p1b1pp/4p3/nPP1N3/N3B1PP/2Q3B1/1R1R2K1 w - - 8 29,51,61,-1.0
1k2r3/1pp3bp/p1q3b1/4p3/1BPr4/PR3pP1/KP3Q1P/4RB2 w - - 0 29,51,27,1.0
rnbqkbnr/pp2pppp/8/2pp4/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,51,35,1.0
8/3b2p1/3r3p/4kP1P/6PK/1R6/8/8 w - - 7 62,45,36,-1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,1.0
1kr2r2/p3bqpp/1ppp1n2/4pb2/8/1PNP1P2/1PPBNQPP/1KR1R3 w - - 4 15,46,53,0.0
8/8/2p1k3/1p2n2R/1P4rp/P7/3K1B2/8 w - - 11 57,46,36,1.0
1k2r3/p1p2q1p/1p1p2p1/r4p2/5Q1P/2PRPP2/PP2R1P1/1K6 w - - 11 29,36,32,1.0
1kr3q1/p1p5/1pPp4/5p1r/2RNpb1P/8/1P2QP2/K2R4 w - - 0 28,63,39,-1.0
r2q1rk1/ppp2ppp/1bnpbn2/8/4P3/1NN1B3/PPP1QPPP/2KR1B1R w - - 6 10,60,62,0.0
8/5pk1/4pqp1/2p3K1/r4P1P/4Q1P1/3R4/8 w - - 1 47,0,45,-1.0
1kr1qb1r/pppb2pp/2np1n2/4p3/5PP1/2NP3P/PPP5/R1BKQBNR w kq - 1 9,59,57,1.0
r2q1rk1/ppbn1ppp/2p1pnb1/3p4/2PP3N/P1N1PPP1/1P2B2P/R1BQ1RK1 w - - 1 12,43,50,-1.0
8/pkb4R/1pp5/3p4/6p1/2P5/PP6/2K5 w - - 0 35,38,30,0.0
r1bqr1k1/b1p2p2/p1np1n1p/Pp2p1p1/3PP2B/1BP2N1P/1P3PP1/RN1QR1K1 w - - 0 16,54,38,-1.0
8/3k4/R3N3/2P5/p7/3K4/8/2r5 w - - 4 64,58,51,-1.0
1k2rb1r/pbp2qpp/1p6/3ppn2/1n3P2/2NP2P1/PPPBN1BP/1KR1Q2R w - - 1 12,42,25,0.0
5k2/p7/4P3/1P1B1p2/7n/3K4/2P2rp1/6R1 w - - 0 41,22,14,0.0
rnbqk2r/pppp1ppp/4p3/8/1bPPn3/6P1/PP1NPP1P/R1BQKBNR w KQkq - 3 5,45,28,1.0
3r2k1/p2q2p1/2p1bp1p/2B5/PPQ2P1P/3n2P1/6B1/3R2K1 w - - 5 35,37,44,0.0
1kr1r3/1pp1nbpp/pbq2p2/n2p4/3P1P1N/PPN3P1/KBPQ2BP/4R2R w - - 11 20,46,53,-1.0
8/1br2kp1/p3Rp2/1pP1pPPp/1P5P/P7/3B1K2/8 w - - 11 46,52,53,1.0
rn1kqbnr/pbp2ppp/1p2p3/8/4PP2/8/PPP3PP/RNBKQBNR w KQkq - 1 5,58,49,0.0
k3qr2/2r1nb2/1pp4p/p2pPp1p/3P1P2/1PPNQ3/PK2B3/2R4R w - - 0 32,48,32,-1.0
2r4k/pp4p1/2p5/q3p1P1/2Q2r1P/1P1P4/P1P3B1/1KR5 w - - 1 28,45,29,0.0
8/p2B1pk1/3b3p/8/1p2KPP1/7P/P7/8 w - - 10 37,50,43,0.0
r3k2r/1pqnbpp1/p1p1p1b1/3pPn1p/P2P1P2/1NPB1N2/1P3BPP/R2QK2R w KQkq - 0 13,48,40,0.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,1.0
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,34,27,1.0
k1r1r3/1p4p1/p1p1Qbp1/q7/2P2B2/1PRPp1NP/1K2BnP1/2R5 w - - 10 29,63,60,1.0
4rb1k/3r1qpp/1pp5/p1n1pb1P/4P1QB/5P2/PPP3RK/4R1N1 w - - 0 32,44,37,-1.0
1kr1qb1r/pppnpppp/5n2/3p1b2/3P1B2/2N1P3/PPP2PPP/R2KQBNR w kq - 1 5,59,57,1.0
7q/2R1bpk1/p2p2p1/3Pp3/4P3/2Q3P1/2B4r/1R4K1 w - - 2 49,59,63,1.0
3r1rk1/p3p2p/1pn3p1/2qp4/5B2/2P1P3/PQ3PPP/2RR2K1 w - - 4 18,56,59,0.0
1B1b4/5kp1/2p2p1p/p1Pp3P/Pp1P4/1P3K2/5PP1/8 w - - 13 44,44,53,1.0
r1bqk2r/1ppn1ppp/3p1n2/p3p3/1bPP4/5NP1/PP1BPPBP/RN1Q1RK1 w kq - 0 8,44,36,0.0
r1bkqbnr/ppppp1pp/2n5/5p2/4P3/8/PPPP1PPP/RNBKQBNR w KQkq - 0 2,53,37,0.0
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,62,45,0.0
1q1rrbk1/5ppp/1pn5/pNpnp3/P1N5/1P1PP1P1/1B2QP1P/3R1RK1 w - - 8 21,50,57,1.0
8/8/p1k5/2p5/7r/P1PK2n1/5N1p/4R3 w - - 3 57,37,22,1.0
8/3b4/1p5r/p2k1p2/P1R4P/1B3K1P/1P6/8 w - - 0 46,43,35,0.0
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,61,34,1.0
4k3/8/1p3P2/pP5P/2P2K2/3R1B2/5r2/6r1 w - - 4 47,8,13,1.0
8/5r2/8/4n3/3k4/6K1/8/R7 w - - 68 87,42,36,0.0
3r4/p2Np1rk/5bpp/4N2n/3Pqp2/8/PP3PPP/4RRK1 w - - 0 29,37,28,1.0
r1q2rk1/pp1nbppp/4pn2/2p5/8/2NQ2P1/PP1PPPBP/R1B2RK1 w - - 6 12,43,52,0.0
r1bkqb1r/ppp3pp/2np1n2/4pp2/4P3/2NP4/PPPB1PPP/R2KQBNR w KQkq - 0 5,51,43,0.0
1r6/4rpk1/2B3p1/2p4p/p1NbnP1P/P3p1P1/1PK3R1/4R3 w - - 0 40,55,39,-1.0
r1b1qrk1/ppp3pp/5bn1/1PP1pp2/8/2Q2NP1/P3PPBP/1RBR2K1 w - - 0 16,43,36,-1.0
8/8/8/8/5p2/4kN2/r5P1/6K1 w - - 44 76,28,20,1.0
8/1k1r4/1p2R1p1/8/2pp3P/2P1Q3/6q1/2K5 w - - 0 56,35,27,0.0
2r1r1k1/1p2qp1p/p1p2np1/3p1n2/PP1P4/2NNPP2/4Q1PP/1R2R1K1 w - - 5 21,59,60,-1.0
r1bqkb1r/pppnpp2/3p3p/6pn/3P3B/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 7,54,38,-1.0
1k1rq2r/1pp1n3/p2b1p2/3p1Pp1/3P2P1/PNN5/1PP2Q2/1K1R3R w - - 1 23,39,63,-1.0
8/2k5/Rr3p1p/1p1Bp2P/4P1P1/PK6/3b4/8 w - - 7 71,57,41,0.0
1kr2r2/pp4pp/3p4/2pbpP2/4P1P1/KP1P3P/P5B1/2R5 w - - 0 23,62,35,1.0
1kr1q2r/pp1b2p1/2pb1n1p/3pnp2/8/2NPP1PP/PPP1NQB1/R1BK3R w kq - 3 11,59,57,0.0
1kbrq2r/pp2n1pp/1bp2n2/2Np1p2/PP1Pp3/2N1P3/1BP1BPPP/1KR1Q2R w - - 0 15,50,42,0.0
r1qr2k1/pb2bpp1/1p2pn1p/4N3/2PRpB1P/6P1/PPQ1PPB1/2R3K1 w - - 1 18,61,59,-1.0
5rk1/1pr3b1/p2p1np1/3Pp2p/4N3/2P1BP2/PP5P/1K1R3R w - - 0 24,51,45,0.0
6R1/1kp5/6P1/2p5/1p1p4/1P1P4/PKP3r1/8 w - - 1 37,48,49,-1.0
1k6/pbp5/1p1pp3/PB1n3p/Q2P3P/2P2q2/PK6/4R3 w - - 0 30,22,21,1.0
8/8/3r3p/R2B2b1/6P1/5Pk1/4K3/8 w - - 14 65,29,22,0.0
k4rnr/1bPp4/p1q4p/1N2P3/Q7/3Pn3/P1PBB2P/R1K4R w - - 1 21,57,56,-1.0
8/4k3/1p2pp1p/p1npr3/P1P3P1/1PR2BPP/5K2/8 w - - 0 51,43,35,-1.0
5r1k/1p3rpp/2pbp3/1P3bq1/2PPB1p1/3NR1P1/1Q3P1P/4R1K1 w - - 1 28,56,61,1.0
8/1bq2p1k/3p1Qp1/2pP3p/1p2P3/1P5P/5PP1/5NK1 w - - 6 44,56,49,1.0
3R4/2b3p1/p3ppk1/1p5p/r3P2P/PKP1R1P1/2P5/8 w - - 6 33,36,50,1.0
r1bkqbnr/pppppppp/2n5/8/8/8/PPPPPPPP/RNBKQBNR w KQkq - 1 1,57,42,0.0
8/8/5n1R/K1p2k2/2Pp1p2/3P1Bp1/8/8 w - - 7 66,36,37,-1.0
rnbkq1nr/pppp1ppp/8/4p3/1b2P3/8/PPPP1PPP/RNBKQBNR w KQkq - 1 2,61,25,1.0
8/8/2N1kp2/5Rp1/4n1P1/4P3/r4PK1/8 w - - 9 54,9,8,0.0
rnb1k2r/ppq1nppp/4p3/2ppP3/3P3P/P1P5/2P2PP1/R1BQKBNR w KQkq - 1 8,59,50,1.0
2r2rk1/p1pbq1bp/1p1p1np1/nP3pN1/Q1PP4/2N1P1P1/P5BP/1RB1R1K1 w - - 2 16,56,58,-1.0
r4rk1/ppq2pp1/2nbp1p1/3p3n/3P4/2PB1NP1/PPQB1P1P/R4RK1 w - - 1 17,58,50,1.0
1q1rbnk1/4bpp1/r3p3/pp2P1P1/3P3P/2N1B3/1P2Q1B1/2RR2K1 w - - 1 30,55,61,1.0
r1bk1b1r/ppp2pp1/5n1p/3P4/4q3/5N2/PPP2PPP/RN1KQB1R w KQkq - 0 8,60,28,0.0
2rqbrk1/pp2b1pp/1nn1p3/1B2Np2/3P4/2N1B2Q/PP3PPP/R2R2K1 w - - 0 16,53,37,0.0
8/1kp5/7p/p1Pp2p1/8/7P/PP4P1/1K6 w - - 1 43,57,49,1.0
r1bq3k/1p3r2/p2p3b/3Pp1pn/P3Pn1p/N2NBP2/1P2B2P/2RQ2RK w - - 2 26,46,29,0.0
1k2r3/5p2/pp5p/5NpP/6P1/2P2B2/PP6/K2Rr3 w - - 3 40,63,60,-1.0
3r2k1/1p3p2/p5pp/5Pb1/3BR3/7P/PPP5/1K6 w - - 0 32,54,46,-1.0
r1bkqbnr/ppp2ppp/2n5/3pp3/5P2/5N2/PPPPP1PP/RNBKQB1R w KQkq - 0 3,52,36,1.0
r1br2k1/1q1nbppp/n3p3/pp1pP3/8/1PNPBNP1/P1Q2PBP/R4RK1 w - - 0 15,42,33,0.0
1k1rq2r/1bp3pp/pp1b1n2/3pnp2/5N1P/1P2P3/PBP1NPP1/1K1RQB1R w - - 3 13,34,43,1.0
1k6/6R1/1p6/1PpK4/r5p1/6P1/7P/8 w - - 0 58,26,24,-1.0
r2q1rk1/p3ppbp/1pbp1np1/8/1PPBP3/2NQ4/P3BPPP/R4RK1 w - - 0 13,49,41,1.0
1knr3r/1p1nbq2/p1ppb2p/P3p1p1/NP2P3/3N1P2/2P2BPP/1K1RQB1R w - - 2 18,45,51,1.0
1k1r4/1ppn1pp1/pq4n1/3P2P1/3RN3/PQ1N1P1r/1PP1R3/1K6 w - - 3 34,43,41,-1.0
3r1k2/pppr2p1/5bb1/3P3p/P7/R3N2P/1P3PP1/2BR1K2 w - - 3 21,60,59,0.0
kn1r3r/1pp2qp1/p2b1p2/4pb1p/7Q/1NP1BP2/PPPRB1PP/1K1R4 w - - 14 18,42,57,-1.0
1qr3k1/2b3pp/2Pp2n1/1p2rp2/1P1Q4/P4B2/5BPP/1RR3K1 w - - 2 32,59,50,1.0
8/1p1k4/7p/pPK2p1P/5P2/8/8/8 w - - 0 52,55,47,1.0
rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,50,42,0.0
3r1r1k/2q1bppp/2p2n2/p3p3/P3P2B/1B1R3P/2P1Q1P1/5R1K w - - 0 24,43,36,0.0
3r4/N5kp/5np1/6n1/2R5/1P3BP1/P4K2/8 w - - 3 43,60,59,1.0
8/8/2p3R1/1pNbk3/1Pr5/2K5/8/8 w - - 37 80,27,26,0.0
5Q2/1kp5/7P/6p1/1P2p2q/8/1KP5/8 w - - 1 79,4,31,0.0
1k6/2p5/1r5p/p3p2p/qpQr3P/8/PPP3P1/1K3R1R w - - 0 31,59,27,0.0
3r2k1/4qppp/p5n1/1pp1bB2/4P3/P2rP2Q/1PRB1P2/6RK w - - 5 25,61,59,-1.0
1k3q1r/bppb1p2/2n2p2/1r2pP2/pPNpP3/P1PP1NQ1/4B1PP/2RR1K2 w - - 3 24,58,57,-1.0
1kr1qb1r/pbppn1pp/1pn5/4pp2/4P3/1PN2P2/PBPP2PP/1KR1QBNR w - - 0 7,53,37,1.0
2rqr1k1/1p4pp/5n2/pP1p4/N2Q4/P2b4/5PPP/R4RK1 w - - 0 22,37,19,-1.0
r1bkq2r/ppp2ppp/5n2/3pn3/1b6/2N1P2P/PPPP2P1/R1BKQBNR w KQkq - 1 6,61,25,-1.0
1kr1qb1r/ppp2pp1/2n1p1b1/3p3p/3PnBP1/P1N2N1P/1PP1PP2/1KR1QBR1 w - - 1 10,45,28,0.0
6k1/pR1Pb3/2p2p1p/2Nr1P2/8/6K1/P7/8 w - - 1 54,53,62,1.0
8/2k2r2/ppp3np/4p1p1/1PP5/1PK1RPP1/5N1P/8 w - - 4 41,52,53,-1.0
1k2r2r/pbp2q1p/1pn2n2/2bppp2/6P1/2NP1P1B/PPPBN2P/1KR1QR2 w - - 0 13,46,37,-1.0
r4rk1/p1q1b1pp/4p3/1pp1Pp2/1n1pNP1P/3P4/PPP1QP1N/R3R1K1 w - f6 0 19,53,37,1.0
1kr5/pppbr1p1/3p1q1p/4pp2/1P1nP3/P1QP1N1P/2P1BPP1/1K1RR3 w - - 1 15,42,27,1.0
2rq1rk1/p3bppp/Pp2p1b1/3pPn2/1P6/2P2N2/3BBPPP/R2Q1RK1 w - - 0 17,49,41,1.0
1k3r2/p1p5/1p1B1n1Q/8/3b4/P2P3B/2r5/K1R4R w - - 16 40,9,10,0.0
rnbkqbnr/ppp1pppp/8/3p4/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,51,35,0.0
1krnqb1r/pppb1ppp/5n2/1B2p3/3pP3/3P1PQ1/PPP1N1PP/RNBK3R w kq - 5 8,42,59,-1.0
r1r3k1/5pb1/p3p3/1p1p1p1p/2nP3P/1BP5/PP2RPPB/3R2K1 w - - 0 29,46,37,0.0
8/2r5/2P3k1/3K1n2/4N1p1/2R5/8/8 w - - 0 61,38,30,0.0
r1q2r2/p2b3k/3p1bpp/1PpPp3/P3P2P/6P1/1Q1NB3/R3K2R w KQ - 1 27,59,58,1.0
1r1q1rk1/3b1pbp/p1nppnp1/1pp5/2P5/1PNPP1PP/PB1QNPB1/R4RK1 w - - 0 13,52,44,0.0
8/8/8/2k5/1pb5/4r3/1K3R2/8 w - - 8 51,44,26,1.0
1k3r2/2p3p1/5n1p/8/2P1p1P1/2B4r/3P1R2/1K2R3 w - - 0 33,19,23,0.0
2b1rk2/3r1p1p/p2p2pN/1p4B1/3NPP2/1P1B3P/6P1/7K w - - 1 39,59,51,1.0
1kr2r2/ppp4p/5np1/7q/Pb1BPp2/1P3P2/2PN3P/1KR1Q2R w - - 3 20,43,25,0.0
r4rk1/pb1qn1bp/1p1pp1p1/5pB1/2Pp4/P1NP2P1/1P1QPPBP/1R3RK1 w - - 0 15,34,27,-1.0
1rbqr1k1/3n1pbp/p1p1p1p1/3p4/2pP4/1PN1PB2/P4PPP/B1RQ1RK1 w - - 0 15,33,26,1.0
3k3r/p1rn1pp1/2bR4/1q6/2p1P1Bp/Q7/PPP3PP/1K1R4 w Q - 5 21,49,42,1.0
8/2p5/3p4/K5p1/P1k5/2P5/7P/8 w - - 1 41,35,26,-1.0
r1bkqbnr/p1pppppp/1pn5/8/4P3/8/PPPP1PPP/RNBKQBNR w KQkq - 0 2,49,41,1.0
1r6/2p1kp1p/1p2b1p1/4p3/1PP2P2/r7/5KPP/2RR1B2 w - - 0 38,43,36,-1.0
8/1p4R1/8/2k5/P2pP2p/3P3P/1P3rP1/2K5 w - - 1 44,43,34,-1.0
8/8/p1p1kn2/1p5p/3P4/PPP1K1PP/8/8 w - - 0 45,49,33,1.0
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 1 6,57,51,1.0
r2q1rk1/1bpn1ppp/pp1bp3/3p4/P1PPn3/1PNBPN2/1B3PPP/R2Q1RK1 w - - 1 11,45,28,0.0
1k6/ppq3pp/2n2p2/2R5/4PPB1/1Q4P1/PP1r3r/1K2R3 w - - 6 26,59,11,0.0
1k6/5r2/pp4p1/2p5/P3P3/1P1PB1b1/2PK3p/7R w - - 1 38,61,53,1.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,51,35,0.0
1k5r/1pp5/p7/3p2Q1/3q4/P7/1PP1R3/1K6 w - - 1 38,59,63,0.0
r3kbnr/1pqb2pp/p1n1pp2/3pP3/3P1B2/P1N2N2/1P3PPP/R2QKB1R w KQkq - 0 10,48,40,1.0
1rbq1rk1/3pnpbp/p3p1p1/1pp5/P1BnPN2/3P4/1PP1NPPP/R1BQR1K1 w - - 0 12,49,33,-1.0
1k1r3r/Rb3ppp/1p6/3nN3/3NQ3/2q5/P4PPP/R5K1 w - - 0 29,50,18,1.0
r1b2rk1/2q1bppp/p2p1n2/npp1p3/3PP3/2P2N2/PPB1QPPP/RNBR2K1 w - - 1 12,59,50,-1.0
1kr1q2r/pp3ppp/2pb1nb1/3pn3/6P1/2NPP2P/PPPB4/1KR1QBNR w - - 0 10,50,42,1.0
4r3/p6p/kpp2Rb1/4P1p1/P4p2/8/1BPQ3P/2K2q2 w - - 6 32,21,5,1.0
1kr1q2r/pppb1ppp/5n2/2b1p3/2B1P3/1PN2n2/PBPP2PP/1KR1Q2R w - - 0 10,27,21,-1.0
r2r4/1p2k1pp/1pb1pp2/8/3P1n2/2N2P2/PP2B1PP/R3R1K1 w - - 1 21,63,59,-1.0
5r1k/pp5p/2p1bq2/3pN1r1/3Pn3/4Q1P1/PP2RPN1/R5K1 w - - 7 30,62,38,-1.0
r2qr1k1/pb1nbppp/1p3n2/2ppN3/3P1B2/1PN3P1/P3PPBP/2RQ1RK1 w - - 2 14,57,51,1.0
3Q4/5bk1/7p/6P1/8/6P1/5PB1/2q3K1 w - - 1 48,26,2,1.0
7k/B6p/2p3p1/3rpq2/P1Q5/1PP3P1/3b1PKP/4R3 w - - 1 33,47,11,1.0
2rr4/kq6/pp1pp1pp/5p2/2PQP1n1/1P1P2P1/P1NR3P/1K1R4 w - - 0 31,54,46,-1.0
rnbq1rk1/p1p1bppp/1p3n2/3p4/8/1PN1PN2/PB1P1PPP/R2QKB1R w KQ - 0 8,44,35,-1.0
8/1p1kb2r/6rn/4R1p1/3BP3/1P4RP/2PP4/1K6 w - - 3 31,58,51,1.0
4r2k/5pp1/3Bn2p/3qPb2/pP1p3P/2p2P2/P1P5/K1R1Q1R1 w - - 1 30,49,35,1.0
8/6p1/3pBb1p/3P1P1P/1kp1R3/8/5r2/1K6 w - - 14 78,34,25,1.0
5r2/kbp5/pp1p4/3P4/1P6/2N2p2/P7/1KR5 w - - 0 37,29,21,1.0
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,35,28,-1.0
2r5/3rq3/1p2nbpk/p1pp1p1p/3P3P/BP2PNP1/P1R2P2/2RQ2K1 w - - 2 35,49,51,0.0
8/6R1/2pk1p2/p2p1Pb1/r7/3B4/K1P5/8 w - - 0 47,30,24,1.0
1k3r1q/1bpp1rb1/1pn1p3/p4n1p/5P1P/P2P1BN1/1PP1N3/1KB1RR1Q w - - 2 24,52,37,-1.0
k1r4r/pbpqn3/1p5b/3pp2P/4PpP1/P2P4/BPPBN3/1KR1QR2 w - - 0 19,54,47,-1.0
1kr1q2r/ppp3pp/3pbp2/2bNn3/2P1P3/1P3NB1/P1P3PP/1KR1Q2R w - - 1 13,46,36,1.0
1k1q3r/2p5/1p4r1/pPPpP1p1/P2P4/4Q3/6P1/K1R3N1 w - - 0 32,49,41,0.0
1k1rr3/pp3bp1/2p2p2/7p/3P4/PPq3PP/2P2QB1/1K1R3R w - - 0 28,25,18,0.0
1k1rqbnr/ppp1p1pp/2n2pb1/3p4/3P2P1/2N1PN1P/PPPB1P2/R2KQB1R w kq - 0 8,53,45,0.0
r5k1/pp2qppp/2n1p3/8/2N5/1P4P1/P2QPPKP/3R4 w - - 1 21,25,42,1.0
rnbqk2r/pp1pppbp/5np1/8/3p4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq - 0 6,34,27,0.0
8/6k1/7R/2r3P1/4PK2/8/8/8 w - - 4 64,46,54,-1.0
1k1r4/p1p2qpp/8/3bp1P1/2r5/P5R1/1PP1N2P/1KR2Q2 w - - 3 25,46,53,0.0
3rk2r/p3qpp1/2p3p1/1p4Pn/2n1P3/7P/PP2NPB1/R1Q2RK1 w k - 3 24,56,59,-1.0
r1bk1b1r/1p1n1p2/4qP1p/2p5/p2pP3/3P1N2/2PNBQPP/1R2RK2 w KQ - 0 14,32,24,0.0
4n1k1/3n1ppp/1p1b4/3q3b/1P1NN3/2B4P/1Q3PP1/5BK1 w - - 0 27,38,35,1.0
r1q1kb1r/pp1n1ppp/2n1p3/2p5/8/3Q2P1/PP1PPPBP/RNB1K2R w KQkq - 0 10,45,51,1.0
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,62,45,0.0
2kr1b1r/ppqn1pp1/2p1p2p/7P/3Pn3/3Q1NP1/PPPB1P2/2KR3R w - - 0 16,45,28,1.0
8/5RP1/1p1k4/2p5/p1P5/P7/KP6/6r1 w - - 3 56,42,43,0.0
r3k2r/ppp1p2p/5ppn/7P/3B1P2/2PP4/P1P1K3/R6R w - - 1 17,59,60,1.0
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,51,35,1.0
r1bqkb1r/pppn1ppp/4pn2/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq - 3 6,62,45,0.0
3br1q1/kbp5/ppn5/3p3Q/3P1PNp/PB6/1B5P/K2R4 w - - 1 41,25,42,1.0
rnbkqb1r/ppp2ppp/5n2/3pp3/4P3/3P4/PPP2PPP/RNBKQBNR w KQkq - 1 3,62,45,0.0
4r3/p1k2p2/1pn3p1/2p1P3/2Pr1P1p/P2P1BP1/2K5/4R1R1 w - - 0 30,39,31,0.0
r1r5/3k3p/4pp2/p1B5/bp1P1P2/2K3P1/2P4P/R1R5 w - - 0 28,33,25,-1.0
4r1k1/1p3pp1/p1p2nb1/2Pp4/3N2P1/2KP1B2/1P2P3/R1b5 w - - 0 31,29,2,0.0
k7/5r2/p1P2r2/7p/2Qp3P/1K1P4/P7/8 w - - 4 48,61,53,-1.0
